year_index,2020
queue_id,q_id
queue_status,q_status
queue_date,q_date_clean
queue_year,q_year
entity,entity
project_name,project_name
developer,developer
utility,utility
county_1,county_1
county_2,county_2
county_3,county_3
state,state
region,region
point_of_interconnection,poi_name
resource_type,type_clean
date_proposed,proposed_on_date
year_proposed,proposed_on_year
interconnection_status_raw,ia_status_raw
interconnection_status_clean,ia_status_clean
resource_type_1,type1
resource_type_2,type2
resource_type_3,type3
capacity_mw_resource_1,mw1
capacity_mw_resource_2,mw2
capacity_mw_resource_3,mw3
